platform_id,manufacturer,manufacturer_code,code_type,source_pdf,notes
FORD-F250-17-22-RC-SHORTB,SnugPro,69FS17,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F250-17-22-RC-LONGBE,SnugPro,80FS17,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F250-08-16-RC-SHORTB,SnugPro,65FSD,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F250-08-16-RC-LONGBE,SnugPro,8FSD,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F250-08-16-RC-SHORTB,SnugPro,65FSDS,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F250-08-16-RC-LONGBE,SnugPro,8FSDS,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F250-99-07-RC-SHORTB,SnugPro,83F350,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F250-99-07-RC-LONGBE,SnugPro,8F350,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-RNG-24-DC-VBED,SnugPro,4AFR24,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-RNG-24-DC-VBED,SnugPro,4AFR24,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-RNG-19-23-DC-VBED,SnugPro,4AFR19,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-RNG-19-23-DC-SHORTB,SnugPro,5AFR19,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-RNG-93-11-XC-SHORTB,SnugPro,75R,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-MAV-22-24-DC-VBED,SnugPro,45FM22,model_id,data/sources/snugpro_2025-03-07.pdf,
TOY-TUN-22-24-DC-VBED,SnugPro,56TT22,model_id,data/sources/snugpro_2025-03-07.pdf,
TOY-TUN-22-24-DC-SHORTB,SnugPro,66TT22,model_id,data/sources/snugpro_2025-03-07.pdf,
TOY-TUN-22-24-DC-LONGBE,SnugPro,81TT22,model_id,data/sources/snugpro_2025-03-07.pdf,
TOY-TUN-14-21-DC-VBED,SnugPro,56TT14,model_id,data/sources/snugpro_2025-03-07.pdf,
