year,make,model,trim,cab_style,bed_length_label,platform_id,vin_decodable_trim,vin_decodable_bed,notes,source_urls
2005,Chevrolet,Silverado 1500,,Double Cab,Long Bed,CHEV-S15-99-06-DC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2006,Chevrolet,Silverado 1500,,Double Cab,Long Bed,CHEV-S15-99-06-DC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2001,Chevrolet,Silverado 2500,,Double Cab,Long Bed,CHEV-S25-01-06-DC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2002,Chevrolet,Silverado 2500,,Double Cab,Long Bed,CHEV-S25-01-06-DC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2003,Chevrolet,Silverado 2500,,Double Cab,Long Bed,CHEV-S25-01-06-DC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2004,Chevrolet,Silverado 2500,,Double Cab,Long Bed,CHEV-S25-01-06-DC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2005,Chevrolet,Silverado 2500,,Double Cab,Long Bed,CHEV-S25-01-06-DC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2006,Chevrolet,Silverado 2500,,Double Cab,Long Bed,CHEV-S25-01-06-DC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
1999,Chevrolet,Silverado 1500,,Regular Cab,Short Bed,CHEV-S15-99-06-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2000,Chevrolet,Silverado 1500,,Regular Cab,Short Bed,CHEV-S15-99-06-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2001,Chevrolet,Silverado 1500,,Regular Cab,Short Bed,CHEV-S15-99-06-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2002,Chevrolet,Silverado 1500,,Regular Cab,Short Bed,CHEV-S15-99-06-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2003,Chevrolet,Silverado 1500,,Regular Cab,Short Bed,CHEV-S15-99-06-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2004,Chevrolet,Silverado 1500,,Regular Cab,Short Bed,CHEV-S15-99-06-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2005,Chevrolet,Silverado 1500,,Regular Cab,Short Bed,CHEV-S15-99-06-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2006,Chevrolet,Silverado 1500,,Regular Cab,Short Bed,CHEV-S15-99-06-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
1999,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-99-06-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2000,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-99-06-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2001,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-99-06-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2002,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-99-06-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2003,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-99-06-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2004,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-99-06-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2005,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-99-06-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2006,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-99-06-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2019,GMC,Sierra 1500,,Extended Cab,Short Bed,GMC-SRA-19-24-XC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2020,GMC,Sierra 1500,,Extended Cab,Short Bed,GMC-SRA-19-24-XC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2021,GMC,Sierra 1500,,Extended Cab,Short Bed,GMC-SRA-19-24-XC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2022,GMC,Sierra 1500,,Extended Cab,Short Bed,GMC-SRA-19-24-XC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2023,GMC,Sierra 1500,,Extended Cab,Short Bed,GMC-SRA-19-24-XC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
