topper_brand,topper_model_series,topper_production_year_start,topper_production_year_end,fits_platform_id,confidence,fit_type,wrap_type,fit_notes,mounting_clamp_type,required_modifications,source_urls,verified_by,source_effective_date,has_custom_fit,has_skirted_sides,door_type,clamp_type_required,bed_size_class,model_id_alias,camera_compatible
SnugPro,XV,,,RAM-R15-09-18-RC-SHORTB,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,UT PRO,,,RAM-R15-09-18-RC-SHORTB,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,RAM-R15-09-18-DC-VBED,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,UT PRO,,,RAM-DAK-05-11-RC-SHORTB,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,False
SnugPro,UT PRO,,,RAM-DAK-05-11-DC-VBED,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,False
SnugPro,XV,,,JEEP-GLAD-20-24-DC-VBED,100,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,False
SnugPro,XV,,,FORD-F150-21-24-DC-VBED,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,FORD-F150-22-24-RC-VBED,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,FORD-F150-21-24-RC-SHORTB,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,FORD-F150-21-24-RC-LONGBE,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,FORD-F150-24-25-RC-VBED,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,FORD-F150-24-25-RC-SHORTB,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,FORD-F150-24-25-RC-LONGBE,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,FORD-F150-15-20-DC-VBED,90,OEM,W,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,FORD-F150-15-20-XC-SHORTB,90,OEM,W,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,UT PRO,,,FORD-F150-15-20-XC-SHORTB,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,FORD-F150-15-20-RC-SHORTB,90,OEM,W,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,UT PRO,,,FORD-F150-15-20-RC-SHORTB,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,FORD-F150-15-20-DC-SHORTB,90,OEM,W,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,UT PRO,,,FORD-F150-15-20-DC-SHORTB,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,UT PRO,,,FORD-F150-15-20-RC-LONGBE,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
