platform_id,nickname,make,model_family,generation,production_year_start,production_year_end,cab_style,bed_length_class,bed_length_floor_inches,bed_length_rail_inches,bed_width_at_rail_inches,bed_width_outer_inches,bed_depth_inches,rail_profile_shape,rail_cross_section_width_inches,rail_cross_section_height_inches,stake_pockets_present,stake_pocket_count_per_side,stake_pocket_length_inches,stake_pocket_width_inches,utility_track_system,cab_back_generation,cab_camera_present,tailgate_variant,notes,source_urls
RAM-DAK-05-11-DC-VBED,Dakota (DD) (2005–2011),Ram,Dakota,,2005,2011,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
RAM-DAK-00-04-DC-VBED,Dakota (DD) (2000–2004),Ram,Dakota,,2000,2004,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
JEEP-GLAD-20-24-DC-VBED,JEEP GLADIATOR (2020–2024),Jeep,Gladiator,,2020,2024,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-MAV-22-24-DC-VBED,Maverick (FD) (2022–2024),Ford,Maverick,,2022,2024,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F150-21-24-DC-VBED,F-150 Raptor (FR) (2021–2024),Ford,F-150,,2021,2024,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F150-22-24-RC-VBED,F-150 (FD) includes Lightning (2022–2024),Ford,F-150,,2022,2024,Regular Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F150-21-24-RC-SHORTB,F-150 (FD) (2021–2024),Ford,F-150,,2021,2024,Regular Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F150-21-24-RC-LONGBE,F-150 (FD) (2021–2024),Ford,F-150,,2021,2024,Regular Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F150-24-25-RC-VBED,F-150 (FD) w/ Pro Access Tailgate (2024–2025),Ford,F-150,,2024,2025,Regular Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F150-24-25-RC-SHORTB,F-150 (FD) w/ Pro Access Tailgate (2024–2025),Ford,F-150,,2024,2025,Regular Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F150-24-25-RC-LONGBE,F-150 (FD) w/ Pro Access Tailgate (2024–2025),Ford,F-150,,2024,2025,Regular Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F150-15-20-DC-VBED,F-150 (FD) (2015–2020),Ford,F-150,,2015,2020,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
