year,make,model,cab_style,bed_length_label,platform_id
2022,Nissan,Frontier,,"60""",leer_60nf22
2023,Nissan,Frontier,,"60""",leer_60nf22
2024,Nissan,Frontier,,"60""",leer_60nf22
2025,Nissan,Frontier,,"60""",leer_60nf22
2013,Nissan,Frontier,,"50""",leer_50nf13
2014,Nissan,Frontier,,"50""",leer_50nf13
2015,Nissan,Frontier,,"50""",leer_50nf13
2016,Nissan,Frontier,,"50""",leer_50nf13
2017,Nissan,Frontier,,"50""",leer_50nf13
2018,Nissan,Frontier,,"50""",leer_50nf13
2019,Nissan,Frontier,,"50""",leer_50nf13
2020,Nissan,Frontier,,"50""",leer_50nf13
2021,Nissan,Frontier,,"50""",leer_50nf13
2013,Nissan,Frontier,,"61""",leer_61nf13
2014,Nissan,Frontier,,"61""",leer_61nf13
2015,Nissan,Frontier,,"61""",leer_61nf13
2016,Nissan,Frontier,,"61""",leer_61nf13
2017,Nissan,Frontier,,"61""",leer_61nf13
2018,Nissan,Frontier,,"61""",leer_61nf13
2019,Nissan,Frontier,,"61""",leer_61nf13
2020,Nissan,Frontier,,"61""",leer_61nf13
2021,Nissan,Frontier,,"61""",leer_61nf13
2005,Nissan,Frontier,,"62""",leer_62nf
2006,Nissan,Frontier,,"62""",leer_62nf
2007,Nissan,Frontier,,"62""",leer_62nf
2008,Nissan,Frontier,,"62""",leer_62nf
2009,Nissan,Frontier,,"62""",leer_62nf
2010,Nissan,Frontier,,"62""",leer_62nf
2011,Nissan,Frontier,,"62""",leer_62nf
2012,Nissan,Frontier,,"62""",leer_62nf
2005,Nissan,Frontier,,"76""",leer_76nf
2006,Nissan,Frontier,,"76""",leer_76nf
2007,Nissan,Frontier,,"76""",leer_76nf
2008,Nissan,Frontier,,"76""",leer_76nf
2009,Nissan,Frontier,,"76""",leer_76nf
2010,Nissan,Frontier,,"76""",leer_76nf
2011,Nissan,Frontier,,"76""",leer_76nf
2012,Nissan,Frontier,,"76""",leer_76nf
1996,Isuzu,Hombre,,"75""",leer_75ih
1997,Isuzu,Hombre,,"75""",leer_75ih
