fits_platform_id,topper_brand,topper_model_series,fit_type,wrap_type,has_skirted_sides,door_type,clamp_type_required,bed_size_class,camera_compatible,has_custom_fit,model_id_alias,fit_notes,confidence,verified_by,source_effective_date,topper_production_year_start,topper_production_year_end
leer_66ff09,LEER,100XL,OEM,X,True,,T,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff09,LEER,100XR,OEM,X,True,windoor_and_option2,T,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff09,LEER,100R,OEM,X,True,windoor_and_option2,T,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff09,LEER,Legend,OEM,X,True,,T,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff09,LEER,180,OEM,X,True,windoor_and_option2,T,SF,,True,,,100,manufacturer,2025-01-24,,
leer_80ff09,LEER,100R,OEM,X,True,windoor_and_option2,S,LF,,True,,,100,manufacturer,2025-01-24,,
leer_80ff09,LEER,Legend,OEM,X,True,,S,LF,,True,,,100,manufacturer,2025-01-24,,
leer_55ff,LEER,100R,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_55ff,LEER,Legend,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_65ff,LEER,100R,OEM,X,True,windoor_and_option2,T,SF,,True,,,100,manufacturer,2025-01-24,,
leer_65ff,LEER,Legend,OEM,X,True,,T,SF,,True,,,100,manufacturer,2025-01-24,,
leer_69fs23,LEER,100XQ,OEM,X,True,,S,SS,,True,,,100,manufacturer,2025-01-24,,
leer_69fs23,LEER,100XL,OEM,X,True,,S,SS,,True,,,100,manufacturer,2025-01-24,,
leer_69fs23,LEER,100XR,OEM,X,True,windoor_and_option2,S,SS,,True,,,100,manufacturer,2025-01-24,,
leer_69fs23,LEER,100R,OEM,X,True,windoor_and_option2,S,SS,,True,,,100,manufacturer,2025-01-24,,
leer_69fs23,LEER,100S,OEM,X,True,windoor_and_option2,S,SS,,True,,,100,manufacturer,2025-01-24,,
leer_69fs23,LEER,180,OEM,X,True,windoor_and_option2,S,SS,,True,,,100,manufacturer,2025-01-24,,
leer_69fs23,LEER,122,OEM,X,True,windoor_and_option2,S,SS,,True,,,100,manufacturer,2025-01-24,,
leer_69fs23,LEER,700,OEM,X,True,,S,SS,,True,,,100,manufacturer,2025-01-24,,
leer_80fs23,LEER,100XQ,OEM,X,True,,S,LS,,True,,,100,manufacturer,2025-01-24,,
leer_80fs23,LEER,100XL,OEM,X,True,,S,LS,,True,,,100,manufacturer,2025-01-24,,
leer_80fs23,LEER,100XR,OEM,X,True,windoor_and_option2,S,LS,,True,,,100,manufacturer,2025-01-24,,
leer_80fs23,LEER,100R,OEM,X,True,windoor_and_option2,S,LS,,True,,,100,manufacturer,2025-01-24,,
leer_80fs23,LEER,100S,OEM,X,True,windoor_and_option2,S,LS,,True,,,100,manufacturer,2025-01-24,,
leer_80fs23,LEER,180,OEM,X,True,windoor_and_option2,S,LS,,True,,,100,manufacturer,2025-01-24,,
leer_80fs23,LEER,122,OEM,X,True,windoor_and_option2,S,LS,,True,,,100,manufacturer,2025-01-24,,
leer_69fs17,LEER,100XQ,OEM,X,True,,S,SS,,True,,,100,manufacturer,2025-01-24,,
leer_69fs17,LEER,100XL,OEM,X,True,,S,SS,,True,,,100,manufacturer,2025-01-24,,
leer_69fs17,LEER,100XR,OEM,X,True,windoor_and_option2,S,SS,,True,,,100,manufacturer,2025-01-24,,
leer_69fs17,LEER,100R,OEM,X,True,windoor_and_option2,S,SS,,True,,,100,manufacturer,2025-01-24,,
leer_69fs17,LEER,Legend,OEM,X,True,,S,SS,,True,,,100,manufacturer,2025-01-24,,
leer_69fs17,LEER,100S,OEM,X,True,windoor_and_option2,S,SS,,True,,,100,manufacturer,2025-01-24,,
leer_69fs17,LEER,180,OEM,X,True,windoor_and_option2,S,SS,,True,,,100,manufacturer,2025-01-24,,
leer_69fs17,LEER,122,OEM,X,True,windoor_and_option2,S,SS,,True,,,100,manufacturer,2025-01-24,,
leer_69fs17,LEER,700,OEM,X,True,,S,SS,,True,,,100,manufacturer,2025-01-24,,
