platform_id,make,model_family,cab_style,nickname,bed_length_floor_inches,production_year_start,production_year_end,stake_pockets_present,cab_camera_present
leer_65tt,Toyota,Tundra,,"Toyota Tundra 65"" (2007–2013)",65.0,2007,2013,,
leer_65ttdc,Toyota,Tundra,Double Cab,"Toyota Tundra 65"" (2007–2013)",65.0,2007,2013,,
leer_8tt,Toyota,Tundra,,Toyota Tundra (2007–2013),79.0,2007,2013,,
leer_8ttdc,Toyota,Tundra,Double Cab,Toyota Tundra (2007–2013),79.0,2007,2013,,
leer_52tc24,Toyota,Tacoma,,"Toyota Tacoma 52"" (2024+)",52.0,2024,,,
leer_62tc24,Toyota,Tacoma,,"Toyota Tacoma 62"" (2024+)",62.0,2024,,,
leer_62tc16,Toyota,Tacoma,,"Toyota Tacoma 62"" (2016–2023)",62.0,2016,2023,,
leer_62tcdc16,Toyota,Tacoma,Double Cab,"Toyota Tacoma 62"" (2016–2023)",62.0,2016,2023,,
leer_52tcdc16,Toyota,Tacoma,Double Cab,"Toyota Tacoma 52"" (2016–2023)",52.0,2016,2023,,
leer_64tcdc,Toyota,Tacoma,Double Cab,"Toyota Tacoma 64"" (2005–2015)",64.0,2005,2015,,
leer_77tcdc,Toyota,Tacoma,Double Cab,"Toyota Tacoma 77"" (2005–2015)",77.0,2005,2015,,
leer_77tc,Toyota,Tacoma,,"Toyota Tacoma 77"" (2005–2015)",77.0,2005,2015,,
leer_77tcr,Toyota,Tacoma,,"Toyota Tacoma 77"" (2005–2015)",77.0,2005,2015,,
leer_63tcc,Toyota,Tacoma,Crew Cab,"Toyota Tacoma 63"" (2001–2004)",63.0,2001,2004,,
leer_51hr17,Honda,Ridgeline,,"Honda Ridgeline 51"" (2017–2024)",51.0,2017,2024,,
leer_59hr,Honda,Ridgeline,,"Honda Ridgeline 59"" (2005–2014)",59.0,2005,2014,,
leer_66nt16,Nissan,Titan,,"Nissan Titan 66"" (2016–2024)",66.0,2016,2024,,
leer_80nt16,Nissan,Titan,,"Nissan Titan 80"" (2016–2024)",80.0,2016,2024,,
leer_56nt13,Nissan,Titan,,"Nissan Titan 56"" (2013–2015)",56.0,2013,2015,,
leer_65nt,Nissan,Titan,,"Nissan Titan 65"" (2004–2012)",65.0,2004,2012,,
leer_55nt,Nissan,Titan,,"Nissan Titan 55"" (2004–2012)",55.0,2004,2012,,
leer_60nf22,Nissan,Frontier,,"Nissan Frontier 60"" (2022–2025)",60.0,2022,2025,,
leer_50nf13,Nissan,Frontier,,"Nissan Frontier 50"" (2013–2021)",50.0,2013,2021,,
leer_61nf13,Nissan,Frontier,,"Nissan Frontier 61"" (2013–2021)",61.0,2013,2021,,
leer_62nf,Nissan,Frontier,,"Nissan Frontier 62"" (2005–2012)",62.0,2005,2012,,
leer_76nf,Nissan,Frontier,,"Nissan Frontier 76"" (2007–2012)",76.0,2005,2012,,
leer_75ih,Isuzu,Hombre,,"Isuzu Hombre 75"" (1996–1997)",75.0,1996,1997,,
