year,make,model,trim,cab_style,bed_length_label,platform_id,vin_decodable_trim,vin_decodable_bed,notes,source_urls
2025,Ford,F-150,,,Long Bed,FORD-F150-21P-LONGBE,partial,partial,,data/sources/ranch_fitment_guide.pdf
2015,Ford,F-150,,SuperCrew,"5'6""",FORD-F150-15-20-SC-56,partial,partial,,data/sources/ranch_fitment_guide.pdf
2016,Ford,F-150,,SuperCrew,"5'6""",FORD-F150-15-20-SC-56,partial,partial,,data/sources/ranch_fitment_guide.pdf
2017,Ford,F-150,,SuperCrew,"5'6""",FORD-F150-15-20-SC-56,partial,partial,,data/sources/ranch_fitment_guide.pdf
2018,Ford,F-150,,SuperCrew,"5'6""",FORD-F150-15-20-SC-56,partial,partial,,data/sources/ranch_fitment_guide.pdf
2019,Ford,F-150,,SuperCrew,"5'6""",FORD-F150-15-20-SC-56,partial,partial,,data/sources/ranch_fitment_guide.pdf
2020,Ford,F-150,,SuperCrew,"5'6""",FORD-F150-15-20-SC-56,partial,partial,,data/sources/ranch_fitment_guide.pdf
2015,Ford,F-150,,Access Cab,"79""",FORD-F150-15-20-AC-79,partial,partial,,data/sources/ranch_fitment_guide.pdf
2016,Ford,F-150,,Access Cab,"79""",FORD-F150-15-20-AC-79,partial,partial,,data/sources/ranch_fitment_guide.pdf
2017,Ford,F-150,,Access Cab,"79""",FORD-F150-15-20-AC-79,partial,partial,,data/sources/ranch_fitment_guide.pdf
2018,Ford,F-150,,Access Cab,"79""",FORD-F150-15-20-AC-79,partial,partial,,data/sources/ranch_fitment_guide.pdf
2019,Ford,F-150,,Access Cab,"79""",FORD-F150-15-20-AC-79,partial,partial,,data/sources/ranch_fitment_guide.pdf
2020,Ford,F-150,,Access Cab,"79""",FORD-F150-15-20-AC-79,partial,partial,,data/sources/ranch_fitment_guide.pdf
2015,Ford,F-150,,,"97.5""",FORD-F150-15-20-975,partial,partial,,data/sources/ranch_fitment_guide.pdf
2016,Ford,F-150,,,"97.5""",FORD-F150-15-20-975,partial,partial,,data/sources/ranch_fitment_guide.pdf
2017,Ford,F-150,,,"97.5""",FORD-F150-15-20-975,partial,partial,,data/sources/ranch_fitment_guide.pdf
2018,Ford,F-150,,,"97.5""",FORD-F150-15-20-975,partial,partial,,data/sources/ranch_fitment_guide.pdf
2019,Ford,F-150,,,"97.5""",FORD-F150-15-20-975,partial,partial,,data/sources/ranch_fitment_guide.pdf
2020,Ford,F-150,,,"97.5""",FORD-F150-15-20-975,partial,partial,,data/sources/ranch_fitment_guide.pdf
2009,Ford,F-150,,SuperCrew,"5'6""",FORD-F150-09-14-SC-56,partial,partial,,data/sources/ranch_fitment_guide.pdf
2010,Ford,F-150,,SuperCrew,"5'6""",FORD-F150-09-14-SC-56,partial,partial,,data/sources/ranch_fitment_guide.pdf
2011,Ford,F-150,,SuperCrew,"5'6""",FORD-F150-09-14-SC-56,partial,partial,,data/sources/ranch_fitment_guide.pdf
2012,Ford,F-150,,SuperCrew,"5'6""",FORD-F150-09-14-SC-56,partial,partial,,data/sources/ranch_fitment_guide.pdf
2013,Ford,F-150,,SuperCrew,"5'6""",FORD-F150-09-14-SC-56,partial,partial,,data/sources/ranch_fitment_guide.pdf
2014,Ford,F-150,,SuperCrew,"5'6""",FORD-F150-09-14-SC-56,partial,partial,,data/sources/ranch_fitment_guide.pdf
2009,Ford,F-150,,Access Cab,"6'6""",FORD-F150-09-14-AC-66,partial,partial,,data/sources/ranch_fitment_guide.pdf
2010,Ford,F-150,,Access Cab,"6'6""",FORD-F150-09-14-AC-66,partial,partial,,data/sources/ranch_fitment_guide.pdf
2011,Ford,F-150,,Access Cab,"6'6""",FORD-F150-09-14-AC-66,partial,partial,,data/sources/ranch_fitment_guide.pdf
2012,Ford,F-150,,Access Cab,"6'6""",FORD-F150-09-14-AC-66,partial,partial,,data/sources/ranch_fitment_guide.pdf
2013,Ford,F-150,,Access Cab,"6'6""",FORD-F150-09-14-AC-66,partial,partial,,data/sources/ranch_fitment_guide.pdf
